objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"13 Days: The Cuban Missile Crisis","177590","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921651","6.78455","7.58415","2.3462","539","3360","thing","13 Days: The Cuban Missile Crisis","2","2","45","45","30","2016","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"1822: The Railways of Great Britain","193867","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428414","5.72953","8.43059","4.25","3642","112","thing","1822: The Railways of Great Britain","3","7","420","420","300","2016","3,4,5,6","","14+","","","","","","","standalone","","","","","","","","","","","",""
"1846: The Race for the Midwest","17405","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921534","6.7088","8.10477","3.9667","602","1760","thing","1846: The Race for the Midwest","3","5","240","240","240","2005","3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"1857","180204","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428431","5.61545","7.7783","3","5460","125","thing","1857","3","6","240","240","120","2015","3,4,5,6","5","","","","","","","","standalone","","","","","","","","","","","",""
"7 Wonders","68448","8","10","0","0","0","0","0","0","0","0","0","4","","","","","","31716543","7.72686","7.81504","2.3436","39","74883","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"7 Wonders Duel","173346","8","14","0","1","0","0","0","0","0","0","0","3","","","","","","33088001","8.01126","8.15892","2.2397","9","42517","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","Repos Production","English","2015","English first edition"
"7 Wonders Duel: Pantheon","202976","9","5","0","1","0","0","0","0","0","0","0","1","","","","","","42736636","7.45229","8.1306","2.2222","0","11828","thing","7 Wonders Duel: Pantheon","2","2","45","45","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"7 Wonders: Babel","154638","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43731415","6.71371","7.25414","2.6486","0","8764","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"7 Wonders: Cities","111661","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","31773670","7.52647","7.85643","2.3514","0","19452","thing","7 Wonders: Cities","2","8","30","30","30","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","31773671","7.59027","7.8323","2.2911","0","23786","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","",""
